Distribuído: True | world_size=4 | device=cuda:0
Construindo modelo...
Hierarquia: 3 estágio(s), 2 módulo(s) de roteamento
Parâmetros: 874.3M
Métricas em checkpoints/train_pt/hnet_2stage_L.metrics.txt
passo   1320 | lm 1.2080 | ppl 3.35 | bpb 1.7428 | bpic 0.00 | ratio_loss 0.0000 | lb 1.9940 | lr 3.00e-04 | 2.08s/step | 15,756 tok/s
passo   1330 | lm 1.2300 | ppl 3.42 | bpb 1.7745 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0214 | lr 3.00e-04 | 2.13s/step | 15,392 tok/s
passo   1340 | lm 1.2509 | ppl 3.49 | bpb 1.8047 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0147 | lr 3.00e-04 | 2.13s/step | 15,381 tok/s
passo   1350 | lm 1.2370 | ppl 3.45 | bpb 1.7846 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0082 | lr 3.00e-04 | 2.10s/step | 15,572 tok/s
passo   1360 | lm 1.2892 | ppl 3.63 | bpb 1.8600 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0092 | lr 3.00e-04 | 2.10s/step | 15,588 tok/s
passo   1370 | lm 1.2476 | ppl 3.48 | bpb 1.7998 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0268 | lr 3.00e-04 | 2.13s/step | 15,361 tok/s
passo   1380 | lm 1.3130 | ppl 3.72 | bpb 1.8942 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0119 | lr 3.00e-04 | 2.10s/step | 15,601 tok/s
passo   1390 | lm 1.2658 | ppl 3.55 | bpb 1.8262 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0023 | lr 3.00e-04 | 2.10s/step | 15,605 tok/s
passo   1400 | lm 1.2631 | ppl 3.54 | bpb 1.8223 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0146 | lr 3.00e-04 | 2.11s/step | 15,557 tok/s
passo   1410 | lm 1.2370 | ppl 3.45 | bpb 1.7846 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0066 | lr 3.00e-04 | 2.10s/step | 15,613 tok/s
passo   1420 | lm 1.2191 | ppl 3.38 | bpb 1.7588 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0149 | lr 3.00e-04 | 2.13s/step | 15,386 tok/s
